Name of University,Name of University_lbEncode,Location,Location_lbEncode
Université Bourgogne Franche-Comté (UBFC),1587,France,27
Université 8 Mai 1945 Guelma,1586,Algeria,0
Universität Heidelberg,1585,Unknown Location,95
Università della Svizzera italiana,1584,Switzerland,84
University of Žilina,1583,Slovakia,77
University of Łódź,1582,Poland,69
University of the Witwatersrand,1581,Unknown Location,95
University of the West of England,1580,United Kingdom,93
University of the South Pacific,1578,Fiji,25
University of the Aegean,1567,Greece,31
University of the Ryukyus,1577,Japan,43
University of the Punjab,1576,Pakistan,66
University of the Philippines,1575,Philippines,68
"University of the North, Colombia",1574,Colombia,14
University of the Free State,1573,South Africa,79
University of the Basque Country,1572,Spain,81
University of the Balearic Islands,1571,Spain,81
"University of the Andes, Venezuela",1570,Venezuela,96
"University of the Andes, Colombia",1569,Colombia,14
"University of the Andes, Chile",1568,Chile,12
University of Vigo,1540,Spain,81
University of Victoria,1538,Canada,11
