Name of University,Name of University_lbEncode,Location,Location_lbEncode
M’Hamed Bougara University of Boumerdès,631,Algeria,0
Mustansiriyah University,630,Iraq,38
Muroran Institute of Technology,629,Japan,43
Murdoch University,628,Australia,2
Multimedia University,627,Malaysia,51
Muhimbili University of Health and Allied Sciences,626,Tanzania,86
Morgan State University,625,United States,94
Monterrey Institute of Technology,623,Unknown Location,95
Mie University,612,Japan,43
Montana State University,622,United States,94
Monash University,621,Australia,2
Mohammed V University of Rabat,620,Morocco,56
Mizzou - University of Missouri,619,United States,94
Missouri University of Science and Technology,618,United States,94
Mississippi State University,617,United States,94
Minia University,616,Egypt,22
Ming Chuan University,615,Taiwan,85
Ming Chi University of Technology,614,Taiwan,85
Miguel Hernández University of Elche,613,Spain,81
Marmara University,585,Turkey,89
Marche Polytechnic University,583,Italy,41
Kyushu University,532,Japan,43
Mapúa University,582,Unknown Location,95
London School of Economics and Political Science,555,United Kingdom,93
Lodz University of Technology,554,Poland,69
Liverpool John Moores University,553,United Kingdom,93
Lithuanian University of Health Sciences,552,Lithuania,49
Linköping University,551,Sweden,83
Lincoln University,550,New Zealand,61
Leuphana University of Lüneburg,549,Germany,29
Leiden University,548,Unknown Location,95
Leibniz University Hannover,547,Germany,29
Lehigh University,546,United States,94
Leeds Beckett University,545,United Kingdom,93
Lebanese University,544,Lebanon,48
Lebanese American University,543,Lebanon,48
Latvia University of Life Sciences and Technologies,542,Latvia,47
Lappeenranta-Lahti University of Technology LUT,541,Finland,26
Lancaster University,540,United Kingdom,93
Lakehead University,539,Canada,11
Lahore University of Management Sciences,538,Pakistan,66
Lahore College for Women University (LCWU),537,Pakistan,66
Ladoke Akintola University of Technology,536,Nigeria,62
La Trobe University,535,Unknown Location,95
LMU Munich,534,Unknown Location,95
L.N. Gumilyov Eurasian National University,533,Kazakhstan,45
London South Bank University,556,United Kingdom,93
Londrina State University,557,Brazil,8
Lorestan University,558,Iran,37
Mae Fah Luang University,571,Thailand,87
Mansoura University,581,Egypt,22
Manisa Celal Bayar University,580,Turkey,89
Manipal Academy of Higher Education,579,India,35
Manchester Metropolitan University,578,United Kingdom,93
Makerere University,577,Uganda,90
Majmaah University,576,Saudi Arabia,74
Mahidol University,575,Thailand,87
Mahatma Gandhi University,574,India,35
Mahasarakham University,573,Thailand,87
Maharishi Markandeshwar University (MMU),572,Unknown Location,95
Macquarie University,570,Australia,2
Loughborough University,559,United Kingdom,93
Mackenzie Presbyterian University,569,Brazil,8
Macau University of Science and Technology,568,Unknown Location,95
Maastricht University,567,Netherlands,60
Lviv Polytechnic National University,566,Ukraine,91
Lusophone University of Humanities and Technologies,565,Portugal,70
Lund University,564,Sweden,83
"Lumière University, Lyon 2",563,France,27
Lucian Blaga University of Sibiu,562,Romania,73
Lovely Professional University,561,Unknown Location,95
Louisiana State University,560,United States,94
​Shahid Chamran University of Ahvaz,1696,Iran,37
